ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-08-09,12973041.439998588,-6706.354384888035,14046260.084101632,330657.1722318368,-523123.74282444327,0.0,0.0,0.0,789.48502
2021-08-10,13208237.59999887,-43349.54893376726,14054464.09606276,426509.36381569214,-688841.1791702375,0.0,0.0,0.0,482.84225
2021-08-11,12528434.880000364,-73179.10070351764,14062668.10802389,487343.4573780997,-640724.5174736805,0.0,0.0,0.0,408.2077099999999
2021-08-12,13111306.400000073,-96602.7302957828,14070872.119985022,541694.6207180193,-113948.68866580912,0.0,0.0,0.0,391.02404
2021-08-13,14082826.400000185,-114180.57795335428,14079076.13194615,586362.943472678,572969.0234925015,0.0,791431.0,675.6964799999998,547.0732780000001
2021-08-14,14168051.51999996,-126598.51549552228,14087280.14390728,596940.5543485194,680827.7168531553,0.0,0.0,1117.179834,1315.488533
2021-08-15,15082682.4000011,-134637.9250348267,14095484.15586841,554405.0907764478,712841.387793101,0.0,0.0,32.96,1400.853999
2021-08-16,13163253.279999498,-139142.95963787785,14102698.597074153,462931.9975616349,-523123.742825439,0.0,0.0,22.556842,861.2979699999999
2021-08-17,12657878.87999969,-140986.38261916413,14109913.038279897,348612.4909099961,-688841.1791705239,0.0,0.0,42.254735999999994,650.440043
2021-08-18,12301724.799999416,-141035.12936778466,14117127.479485637,246169.95795639328,-640724.5174748449,0.0,0.0,29.853331999999998,5.18734
2021-08-19,13376431.999999268,-140116.74660003267,14124341.92069138,184695.5869047026,-113948.68866573188,0.0,0.0,30.858569999999993,0.0
2021-08-20,13887826.879999854,-138987.8383521361,14131556.361897124,175891.84088307535,572969.0234920173,0.0,0.0,32.85,0.0
2021-08-21,14041577.280000303,-138305.58624262037,14138770.803102868,203667.26765652624,680827.7168519697,0.0,0.0,27.557499999999997,0.0
2021-08-22,15318349.60000089,-138603.3153436153,14145985.244308608,219802.53949315855,712841.3877924879,0.0,0.0,25.240000000000002,0.0
2021-08-23,12642492.799999913,-140270.94912247642,14153199.685514351,157668.45271956702,-523123.7428254176,0.0,0.0,43.891206,0.0
2021-08-24,12081465.759999584,-143541.04110345282,14160414.126720097,-30661.05828808172,-688841.17917081,0.0,0.0,29.384721999999996,0.0
2021-08-25,12683999.519998306,-148480.89187338174,14167628.56792584,-330487.133427957,-640724.5174755452,0.0,0.0,33.94,0.0
2021-08-26,13992478.719996579,-154991.0631542363,14174843.00913158,-648372.4283763369,-113948.68866780197,0.0,0.0,28.456205999999995,0.0
2021-08-27,14602383.51999748,-162810.39200727677,14182057.450337322,-849499.4550008186,572969.0234915328,0.0,0.0,16.22,0.0
2021-08-28,14929038.719997637,-171527.3941776088,14189271.891543066,-836582.5071208325,680827.7168525796,0.0,0.0,15.015594,0.0
2021-08-29,15548691.839997342,-180597.732840602,14196486.332748808,-619758.8639565494,712841.3877919771,0.0,0.0,24.319999999999997,0.0
2021-08-30,13104402.719999,-189367.22426295927,14203700.773954552,-322781.0045128047,-523123.7428264133,0.0,0.0,0.0,0.0
2021-08-31,12911497.119998092,-197099.6616028556,14210915.215160295,-111907.4370169172,-688841.1791700776,0.0,0.0,0.0,0.0
2021-09-01,13360556.479998298,-203008.5684180912,14218129.656366035,-91783.9266494618,-640724.5174735896,0.0,0.0,87.87200000000001,0.0
2021-09-02,14256132.31999709,-206291.84992590916,14225344.09757178,-240776.5374434816,-113948.6886663512,0.0,0.0,70.22399999999999,581.787319
2021-09-03,15801923.679998001,-206168.19746866744,14232558.538777525,-431415.8247024668,572969.0234933431,0.0,0.0,75.57249999999999,1437.6285309999998
2021-09-04,14883266.879998244,-201914.0238949428,14239772.979983266,-519189.32458707865,680827.7168524959,0.0,0.0,66.11,1557.248211
2021-09-05,13826231.039997851,-192899.66748329127,14246987.421189006,-434057.34635261394,712841.3877914667,0.0,0.0,70.575,1598.5148310000002
2021-09-06,13562128.47999811,-178623.60138378726,14254201.86239475,-211787.731688946,-523123.74282357993,844995.8923166377,0.0,81.69,1788.1316350000004
2021-09-07,12697950.399999157,-158743.42484315648,14261416.303600494,48167.17311251111,-688841.1791713828,0.0,0.0,70.7545,979.6902229999996
2021-09-08,15146662.879999395,-133102.49104309065,14268630.744806236,257045.83689730117,-640724.5174742898,0.0,0.0,83.312,1050.7131450000002
2021-09-09,16351428.639999151,-101751.14232763142,14275845.186011976,385581.49093572673,-113948.68866764754,0.0,0.0,70.206996,1244.116299
2021-09-10,17190980.159999896,-64961.6738436949,14283059.62721772,458872.7731670296,572969.0234928587,0.0,0.0,84.08399999999999,1242.7667179999999
2021-09-11,17760316.640000157,-23236.327073557804,14290274.068423465,514765.03914796567,680827.7168526973,0.0,0.0,50.550996,1357.384317
2021-09-12,18672224.31999919,22692.179787777844,14297488.509629209,566568.4759912434,712841.3877909562,0.0,0.0,59.86,2527.3462680000002
2021-09-13,16385056.480000077,71867.85301420554,14304702.95083495,597527.6928642949,-523123.74282457575,0.0,0.0,68.629694,1481.3521509999998
2021-09-14,15710056.159999821,123126.38736575036,14311917.392040694,582669.0103236634,-688841.1791703509,0.0,0.0,86.885128,861.8565489999999
2021-09-15,15573995.519999499,175117.68159533574,14319131.833246434,513539.8809698951,-640724.517473662,0.0,0.0,72.145334,1198.226196
2021-09-16,16731701.43999989,226335.45332458723,14326346.274452178,406479.0284128497,-113948.68866619676,0.0,0.0,70.783274,1159.771142
2021-09-17,17634434.87999937,275153.2696056243,14333560.715657922,293810.05358385295,572969.0234913089,0.0,0.0,66.422,1183.7956300000003
2021-09-18,16949557.4399988,319866.09425918496,14340775.15686366,209043.82526921423,680827.71685192,0.0,0.0,54.881028,1298.8963400000002
2021-09-19,18114185.439999104,358736.261012459,14347989.598069403,173957.85289335015,712841.3877903429,0.0,0.0,63.60922000000001,1648.39566
2021-09-20,15492093.439998792,390042.6186605299,14355204.039275149,187509.73611700488,-523123.7428245542,0.0,0.0,61.221616,1162.9544600000004
2021-09-21,15309366.71999902,412131.4663494833,14362418.480480893,217256.02797331804,-688841.1791696181,0.0,0.0,56.2228,835.1795600000002
2021-09-22,12399704.799998257,423467.8079906149,14369632.921686634,202509.82727774803,-640724.5174748265,0.0,0.0,70.086428,817.0267799999999
