ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE,TRADE_COST_TRADE_TPR_DISPLAY,TRADE_COST_TRADE_TPR_FEATURE,TRADE_COST_TRADE_TPR_FEATURE_DISPLAY,TRADE_COST_TRADE_TPRONLY
2021-11-22,226263628.959939,-10443761.524888942,195497907.1132959,13282812.22726314,-19733346.416899163,66135281.93612064,0.0,3139.384049,1352.372,11089.154999999999,424.375,13951.140000000001,0.0,0.0,32714.32
2021-11-23,235727865.88994682,-10118952.218021031,195504157.20416805,12848682.313624147,-25645170.2668013,0.0,0.0,4150.46,1302.0560000000003,10390.0,416.25,14578.85,0.0,0.0,34806.469999999994
2021-11-24,257002630.3999548,-9835939.782278117,195510407.29504025,4919303.489448051,-23077974.78348911,0.0,0.0,3570.8394719999997,1332.632,8811.5,380.625,13997.300000000001,0.0,0.0,40138.689999999995
2021-11-25,91464699.73999457,-9626974.639820743,195516657.3859124,-7547638.640574409,-19345711.806367964,0.0,0.0,1539.093404,377.104,2379.875,53.75,4516.2300000000005,0.0,0.0,12112.48
2021-11-26,119245563.95000479,-9523537.264726125,195522907.47678456,-17098621.683861267,26582825.885774635,0.0,0.0,4347.4422190000005,677.208,7083.75,257.5,6074.49,0.0,0.0,17283.229999999996
2021-11-27,141341829.15000767,-9555252.548062503,195529157.56765667,-17948129.97950285,36253865.7221919,0.0,0.0,4876.477935000001,1221.8360000000002,6578.125,371.25,7160.929999999999,0.0,0.0,20366.45
2021-11-28,184441108.01997405,-9748864.864658546,195535407.6585288,-10881807.00064717,24965511.665461466,0.0,0.0,4948.741250000001,2077.6279999999992,10133.485,442.5,9115.119999999999,2.0,0.0,26032.96
2021-11-29,158688287.4299956,-10127305.259083545,195541657.749401,-2537723.3846791624,-19733346.41686473,0.0,0.0,4943.55,1021.6359999999997,8349.485,436.25,7917.12,0.0,0.0,22711.02
2021-11-30,156420264.45998877,-10708879.076915434,195547907.8402731,242795.76293145007,-25645170.26676369,0.0,0.0,4883.2,316.87600000000003,7991.75,353.75,7650.11,398.66999999999996,208.36999999999998,22602.37
2021-12-01,163945165.08999538,-11506598.443877649,195554157.93114525,-4065375.0231165015,-23077974.783439767,0.0,0.0,3093.596911,315.25199999999995,11069.31,508.94166666666666,1083.21,17632.42,10221.98,3525.0400000000004
2021-12-02,164731773.5900128,-12527679.364387035,195560408.02201745,-11041050.075983029,-19345711.806323774,0.0,0.0,3136.3499999999995,315.42,11536.725,409.375,1124.4100000000003,16960.630000000005,9824.160000000002,3655.7299999999996
2021-12-03,180468461.96999285,-13773218.015754202,195566658.1128896,-14764884.196095008,26582825.88580664,0.0,0.0,3069.3100000000004,317.71599999999995,18356.2,477.41666666666663,1127.3700000000001,19243.51,11312.99,4057.8499999999995
2021-12-04,206388982.4199919,-15238055.2147577,195572908.2037617,-13021717.440002454,36253865.72219297,0.0,0.0,3127.44,315.728,18583.270000000004,518.75,1376.5300000000002,21739.500000000004,13097.039999999997,4645.28
2021-12-05,244939529.94999027,-16910832.200124778,195579158.29463387,-8601778.494302368,24965511.665426232,0.0,0.0,3149.6099999999997,319.564,21288.170000000002,613.125,1714.5900000000001,24675.500000000004,15220.1,5257.91
2021-12-06,186249954.25000644,-18774234.98515869,195585408.385506,-5974336.327300789,-19733346.416914903,0.0,0.0,3116.13,314.496,6467.249999999999,430.625,1180.23,18929.84,11396.56,4360.49
2021-12-07,175838768.7100178,-20805418.765942626,195591658.4763781,-6905126.62929564,-25645170.26682183,0.0,0.0,3081.870445,311.38800000000003,6226.3499999999985,431.79166666666663,1274.52,18105.89,10495.539999999999,4300.55
2021-12-08,169666109.7400119,-22976598.39655155,195597908.5672503,-9217711.211231723,-23077974.78347408,0.0,0.0,3097.020557,311.864,5972.849999999999,383.75,3032.34,14660.71,9156.11,7105.57
2021-12-09,174473935.15000513,-25255785.926368684,195604158.65812245,-9506292.292388352,-19345711.80631437,0.0,0.0,3090.9300000000007,314.244,6193.389999999999,363.75,2898.9500000000003,14979.2,9540.289999999999,7118.940000000001
