ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2021-08-06,13870188.640000662,1214105.178985877,11547743.988670295,-454658.6959597912,951556.2990915858,0.0,0.0,324.777082,0.0,0.0,0.0
2021-08-07,14654646.880000612,1617487.504680891,11547458.81457557,-282317.3316217637,2269673.8251742367,0.0,0.0,299.498274,0.0,0.0,0.0
2021-08-08,16370645.600000372,1999570.207731953,11547173.64048084,-313748.0188193776,2657445.077361968,0.0,0.0,270.628348,0.0,0.0,0.0
2021-08-09,12940764.160000632,2355558.633871056,11546888.46638611,-612837.4295505551,-833302.8633878598,0.0,0.0,322.933822,0.0,0.0,0.0
2021-08-10,12153777.760000492,2681299.939470557,11546603.29229138,-920247.3882998334,-1761398.5412209851,0.0,0.0,316.11357,0.0,0.0,0.0
2021-08-11,10985624.320000835,2973328.400651809,11546318.118196651,-958366.2598589492,-1873894.531512298,0.0,0.0,319.58585800000003,0.0,0.0,0.0
2021-08-12,11520015.520001017,3228892.3701284365,11546032.944101922,-747694.7117870002,-1410079.2655045926,0.0,0.0,331.69383400000004,0.0,0.0,0.0
2021-08-13,13268552.800000852,3445963.297984265,11545747.770007191,-594431.1767360846,951556.2990938694,0.0,0.0,314.504082,0.0,0.0,0.0
2021-08-14,14685684.00000064,3623227.717652743,11545462.595912462,-751730.4459094359,2269673.825175744,0.0,0.0,328.43302,0.0,0.0,0.0
2021-08-15,16150290.880000414,3760063.5355890607,11545177.421817731,-1103990.1957172083,2657445.0773681565,0.0,0.0,325.15947000000006,0.0,0.0,0.0
2021-08-16,12309588.960000498,3856502.340654008,11541032.93299241,-1219807.951792196,-833302.8633912918,0.0,0.0,315.816022,0.0,0.0,0.0
2021-08-17,11036147.040000878,3913179.7573445095,11536888.444167089,-757310.8262137613,-1761398.541222006,0.0,0.0,319.67880600000007,0.0,0.0,0.0
2021-08-18,8096390.0800003875,3931276.098534497,11532743.955341766,160871.00144218118,-1873894.5315128828,0.0,0.0,308.33656,0.0,0.0,0.0
2021-08-19,8864538.560000606,3912449.72345636,11528599.466516444,986456.9232066527,-1410079.2655044978,0.0,0.0,289.22838,0.0,0.0,0.0
2021-08-20,9317947.680000458,3858765.573523304,11524454.97769112,1198360.0998248458,951556.2990939884,0.0,0.0,321.389594,0.0,0.0,0.0
2021-08-21,10617778.880001301,3772621.34277361,11520310.488865802,764355.4461775735,2269673.825170818,0.0,0.0,327.58336799999995,0.0,0.0,0.0
2021-08-22,13004391.360002017,3656673.6447042422,11516166.00004048,175866.7513981631,2657445.077367119,0.0,0.0,325.95747,0.0,0.0,0.0
2021-08-23,9339652.320000404,3513766.36885497,11512021.511215158,8280.121225170475,-833302.8633906489,0.0,0.0,332.8763839999999,0.0,0.0,0.0
2021-08-24,7957624.640000179,3346863.1867687413,11507877.022389837,405044.8944820954,-1761398.541223027,0.0,0.0,316.05241400000006,0.0,0.0,0.0
2021-08-25,7574382.08000062,3158985.877996157,11503732.533564515,962189.9919497678,-1873894.5315151853,0.0,0.0,320.918116,0.0,0.0,0.0
2021-08-26,8072900.640000594,2953159.814205516,11499588.044739192,1119694.8666838594,-1410079.2655087756,0.0,0.0,314.19176200000004,0.0,0.0,0.0
2021-08-27,8951324.000000445,2732367.5760801504,11495443.555913871,693100.7932586928,951556.2990941074,0.0,0.0,297.97975999999994,0.0,0.0,0.0
2021-08-28,10128202.720000856,2499511.2970600766,11491299.067088548,49073.82569492653,2269673.8251723247,0.0,0.0,242.09878800000004,0.0,0.0,0.0
2021-08-29,12346624.480000596,2257383.9440598465,11487154.578263229,-235459.5385414284,2657445.077365411,0.0,0.0,324.994216,0.0,22.0,0.0
2021-08-30,8736640.16000061,2008649.3716662875,11483010.089437904,92232.52345401068,-833302.8633940809,0.0,0.0,238.19300800000002,0.0,28.0,0.0
2021-08-31,8144141.760000796,1755830.6362218536,11478865.600612585,730631.4689373361,-1761398.5412210466,0.0,0.0,328.298468,0.0,102.0,0.0
2021-09-01,15164109.760002261,1501305.7414853135,11474721.11178726,1103450.1083008058,-1873894.5315107484,0.0,0.0,388.79791,0.0,438.0,0.0
2021-09-02,16413900.320002439,1247309.7190731126,11470576.622961938,876586.3433872509,-1410079.265505609,0.0,0.0,385.90919,0.0,1031.0,0.0
2021-09-03,18812778.240004394,995941.7331921128,11466432.134136615,230950.4814658315,951556.2990985558,0.0,0.0,377.9408659999999,0.0,1773.0,0.0
2021-09-04,18299090.72000358,749175.7473020676,11462287.645311294,-343378.84396418056,2269673.825173004,0.0,0.0,384.358388,0.0,2006.0,0.0
2021-09-05,17093658.88000259,508873.20462261455,11458143.156485973,-510416.7231390595,2657445.0773637025,0.0,0.0,382.428556,0.0,1860.0,0.0
2021-09-06,17837791.68000331,276796.1571013003,11453998.66766065,-361446.5308151044,-833302.8633852405,5669794.293791876,0.0,381.97146399999997,0.0,1696.0,0.0
2021-09-07,14186878.400001198,54619.32806605568,11449854.178835329,-259336.3685780599,-1761398.5412250685,0.0,0.0,377.594528,0.0,1418.0,0.0
2021-09-08,8731690.559999192,-156060.2901969654,11445709.690010007,-440926.7231257826,-1873894.5315130516,0.0,0.0,383.721722,0.0,1109.0,0.0
2021-09-09,9083737.759999206,-353717.52665507345,11441565.201184684,-787138.9836888703,-1410079.2655085863,0.0,0.0,375.14868,0.0,1124.0,0.0
2021-09-10,10560654.23999879,-536897.8030907023,11437420.712359363,-980605.447331292,951556.2990986744,0.0,0.0,372.83463200000006,0.0,1273.0,0.0
2021-09-11,11805399.51999844,-704221.3076390395,11433276.22353404,-868698.8523752547,2269673.825169735,0.0,0.0,398.576242,0.0,1201.0,0.0
2021-09-12,14111872.639997812,-854392.984727427,11429131.73470872,-641916.8946044946,2657445.077361994,0.0,0.0,374.895836,0.0,1367.0,0.0
2021-09-13,10619611.519998984,-986218.4283181268,11424987.245883398,-631201.6745369072,-833302.8633886726,0.0,0.0,366.39471,0.0,1051.0,0.0
2021-09-14,9164219.359999163,-1098625.4291531378,11420842.757058077,-926758.119312106,-1761398.5412212284,0.0,0.0,369.617298,0.0,977.0,27.0
2021-09-15,11945600.160000589,-1190690.5948485583,11416698.268232754,-1220655.1632848904,-1873894.531511984,0.0,0.0,367.315128,0.0,1134.0,162.0
2021-09-16,12708537.76000121,-1261670.1471405807,11412553.779407432,-1066175.3229371551,-1410079.26550542,0.0,0.0,377.666486,0.0,1243.0,328.0
2021-09-17,14089104.480001139,-1311033.7157513762,11408409.29058211,-326916.0863566121,951556.2990910952,0.0,0.0,362.69154399999996,0.0,1311.0,550.0
2021-09-18,15634064.160001833,-1338499.704739271,11404264.801756788,625113.763938183,2269673.825169584,0.0,0.0,375.83097799999996,0.0,1430.0,701.0
2021-09-19,18191579.52000334,-1344070.6148441748,11400120.312931463,1185765.2606880567,2657445.077360956,0.0,0.0,384.563754,0.0,1452.0,771.0
2021-09-20,13655633.600001046,-1328066.5728045458,11395975.824106144,1040205.431774496,-833302.8633880297,0.0,0.0,376.33711600000004,0.0,1127.0,601.0
2021-09-21,12167989.92000088,-1291155.252105297,11391831.335280824,448394.4096986519,-1761398.5412192484,0.0,0.0,385.47667999999993,0.0,1027.0,572.0
2021-09-22,11686921.920001058,-1234376.3734922176,11387686.8464555,16231.14295937183,-1873894.5315125687,0.0,0.0,376.03356799999995,0.0,991.0,581.0
2021-09-23,12387321.600000843,-1159159.049417874,11383542.357630178,151133.7882572753,-1410079.265505325,0.0,0.0,358.46794399999993,0.0,933.0,494.0
2021-09-24,13950313.280001227,-1067330.3837536708,11379397.868804855,701810.8011492008,951556.2990933786,0.0,0.0,366.75732200000004,0.0,1249.0,696.0
2021-09-25,15041595.200001234,-961113.9533118298,11375253.379979536,1115972.30736904,2269673.8251710925,0.0,0.0,374.442902,0.0,1207.0,702.0
2021-09-26,17048560.48000121,-843117.0752593031,11371108.891154213,967595.5892726463,2657445.0773585774,0.0,0.0,377.71479,0.0,1298.0,693.0
2021-09-27,13088876.8000013,-716306.0965646573,11366964.402328892,360520.5295003773,-833302.8633914617,0.0,0.0,345.98800600000004,0.0,1032.0,448.0
2021-09-28,11662575.040000858,-583969.3180368295,11362819.913503569,-166731.47354012707,-1761398.541220269,0.0,0.0,366.60058799999996,0.0,1029.0,448.0
2021-09-29,11612755.200000724,-449667.5747867539,11358675.424678247,-141300.7885616659,-1873894.5315115023,0.0,0.0,373.3292560000001,0.0,951.0,429.0
2021-09-30,12776334.400001042,-317172.9238066738,11354530.935852924,408275.7969091544,-1410079.265502159,0.0,0.0,377.8293799999999,0.0,1119.0,505.0
2021-10-01,14283824.320001282,-190396.3238907561,11350386.447027603,982239.4179775984,951556.299095662,0.0,0.0,216.17999999999995,0.0,1293.0,593.0
2021-10-02,15657020.000001881,-73305.6186962123,11346241.958202282,1065590.4741920666,2269673.8251726,0.0,0.0,0.0,0.0,1569.0,606.0
