ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA
2021-08-17,28119365.759997085,-7041358.696571918,38095505.67336568,866599.842433911,-4360372.110223777,0.0,0.0,0.0
2021-08-18,32155276.95999661,-6835064.507341274,38104030.34939863,179975.98119767418,-5201343.806837154,0.0,0.0,0.0
2021-08-19,32026874.399996795,-6550768.63067159,38112555.02543157,-213509.2640026722,-5038923.188240854,0.0,0.0,0.0
2021-08-20,33673019.35999627,-6194404.484598384,38121079.70146453,1490.413357921223,-830246.1878772548,0.0,0.0,0.0
2021-08-21,40687813.27999467,-5773727.6881185295,38129604.37749747,612124.069038792,4672366.5297694,0.0,0.0,0.0
2021-08-22,51982818.879989356,-5298077.251808073,38138129.053530425,1032842.6045389556,11082212.133368324,0.0,0.0,0.0
2021-08-23,36381554.559994996,-4778095.676336558,38146653.72956337,769969.9926149619,-323693.3699711755,0.0,0.0,0.0
2021-08-24,31097939.359996557,-4225416.32719955,38155178.40559632,-193401.2601312642,-4360372.110227868,0.0,0.0,0.0
2021-08-25,32225502.39999684,-3652327.2785771647,38163703.08162927,-1391667.8007676469,-5201343.806846017,0.0,0.0,49.163163000000004
2021-08-26,32767849.759996567,-3071421.375634604,38172227.75766221,-2218752.5458661467,-5038923.188243693,0.0,0.0,39.365458999999994
2021-08-27,34588106.559996374,-2495242.539835151,38180752.43369517,-2317928.1759260604,-830246.1878801371,0.0,0.0,63.014116
2021-08-28,40948548.639994465,-1935938.3307369729,38189277.10972811,-1733454.8076150182,4672366.529779154,0.0,55.263749999999995,116.14808099999999
2021-08-29,51943711.51999023,-1404928.4837366126,38197801.785761066,-782091.1621487814,11082212.133365508,0.0,58.248749999999994,196.636759
2021-08-30,38089067.19999466,-912598.5771679012,38206326.46179401,173038.15897568365,-323693.36998338986,0.0,44.654,82.57662299999998
2021-08-31,34883146.87999669,-468027.16314960935,38214851.13782696,853571.6758821546,-4360372.11022131,0.0,52.899241,103.660719
2021-09-01,28623827.519997682,-78753.65036993106,38223375.81385991,1076567.7896470812,-5201343.806829321,0.0,86.05229200000001,150.85931000000002
2021-09-02,26744823.199997637,249407.0144502892,38231900.489892855,758433.1857803391,-5038923.188234127,0.0,112.948508,160.44902199999999
2021-09-03,30991830.23999733,512498.2186930285,38240425.16592581,-11536.429575404192,-830246.1878639675,0.0,112.757706,197.40795899999998
2021-09-04,33825268.31999587,708500.9773848392,38248949.841958754,-905019.623469792,4672366.529784122,0.0,160.73997599999998,204.740795
2021-09-05,34778667.99999621,837357.1031066084,38257474.51799171,-1445457.1979116637,11082212.13336269,0.0,161.082567,214.30226599999997
2021-09-06,37371169.11999423,900936.3204044044,38265999.19402465,-1283270.0326313768,-323693.36994918925,2422219.1806694623,160.69085300000003,274.299334
2021-09-07,29973151.03999658,902948.9853711145,38274523.870057605,-471297.6616411797,-4360372.110236052,0.0,191.107856,130.68137299999998
2021-09-08,28802480.479996756,848807.5979142055,38283048.54609054,516867.7146434704,-5201343.8068381855,0.0,181.61258,130.705361
2021-09-09,27666876.639997344,745441.7122739265,38291573.222123496,1102478.9424305442,-5038923.188249319,0.0,178.223373,166.282702
2021-09-10,27771373.919997368,601072.1213606234,38300097.89815645,1030948.5403900874,-830246.1878668499,0.0,169.475043,400.274887
2021-09-11,32762738.239996206,424951.2776010065,38308622.5741894,559358.1118166845,4672366.529760513,0.0,174.67839800000002,267.725539
2021-09-12,44304002.07999201,227077.78812787624,38317147.25022234,226241.2845753922,11082212.133359872,0.0,186.90933299999998,665.8358470000001
2021-09-13,32897418.879995674,17893.46260924469,38325671.92625529,385566.1973316653,-323693.3699614042,0.0,179.720828,305.252058
2021-09-14,28015736.959996887,-192028.2179769493,38334196.602288246,904213.017230272,-4360372.11022031,0.0,189.70728699999998,215.11184699999998
2021-09-15,44354329.75999507,-392293.2121160327,38342721.27832119,1290214.0869709773,-5201343.806834269,0.0,185.517522,506.99110700000006
2021-09-16,44047594.39999503,-572988.7369309983,38351245.95435414,1142040.9022002674,-5038923.188239754,0.0,186.884026,290.03063000000003
2021-09-17,47235534.23999455,-724967.3059231738,38359770.63038709,521467.0565112266,-830246.1878848539,0.0,170.65113200000002,251.46991
2021-09-18,53854415.35999234,-840105.115656268,38368295.30642004,-84048.12164589098,4672366.529760695,0.0,197.16960400000002,254.76146999999997
2021-09-19,67556229.27998653,-911527.7503107368,38376819.98245299,-181588.45389138424,11082212.133357955,0.0,178.812424,387.95265000000006
2021-09-20,50861681.11999374,-933797.2029700604,38385344.658485934,289995.6400717652,-323693.369960799,0.0,192.39133400000003,176.71513000000002
2021-09-21,50817539.51999376,-903055.401949045,38393869.33451888,885148.5659636455,-4360372.110213752,0.0,174.174129,139.56053
2021-09-22,46256300.959995106,-817120.7429428833,38402394.01055183,1001328.0861349432,-5201343.806835897,0.0,187.38565200000002,47.30686000000001
2021-09-23,46502518.71999444,-675535.5238876463,38410918.68658478,355172.6947153161,-5038923.188242569,0.0,158.072824,0.0
2021-09-24,48628200.79999372,-479563.6176763295,38419443.36261772,-802979.194514846,-830246.1878782103,0.0,162.004271,0.0
2021-09-25,55588836.159991845,-232139.15590373217,38427968.03865068,-1883108.7156495915,4672366.52977045,0.0,194.994501,0.0
2021-09-26,68947894.87998618,62231.60689239929,38436492.71468362,-2365525.493235877,11082212.133354235,0.0,196.51944699999999,0.0
2021-09-27,52187231.83999248,397611.76492128,38445017.390716575,-2094969.8064498897,-323693.36997301393,0.0,173.92856799999998,0.0
