ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-09-10,7806615.479999342,-1421015.194648465,8251531.407753988,478417.98987284297,2181693.9125803635,0.0,0.0,183.40192599999997,0.0,12.0
2021-09-11,8072293.779999073,-1419563.521011826,8248038.558003571,39402.67831342984,2100510.56458178,0.0,0.0,206.917374,0.0,12.0
2021-09-12,7645299.699999507,-1415317.8432077477,8244545.708253154,148203.80627194824,123021.16942384212,0.0,0.0,159.10447399999998,0.0,0.0
2021-09-13,6110790.989999953,-1408836.3096487254,8241052.858502736,589650.6109461571,-1532617.5825031851,0.0,0.0,165.558142,0.0,0.0
2021-09-14,5971942.659999946,-1400726.279937053,8237560.008752319,851666.9417696944,-1366010.7890679445,0.0,0.0,156.67939199999998,0.0,0.0
2021-09-15,7987333.09000054,-1391626.6636348935,8234067.159001901,610283.4461065759,-1058605.743860311,0.0,0.0,157.28666399999997,0.0,0.0
2021-09-16,8394127.470000442,-1382190.117348426,8230574.309251484,11714.247651009762,-447991.5311489328,0.0,0.0,196.87865999999997,0.0,0.0
2021-09-17,10422135.810000917,-1373065.6144303672,8227081.459501066,-491358.18316111295,2181693.9125741646,0.0,0.0,215.06435199999996,0.0,0.0
2021-09-18,10347515.280000856,-1364881.8620996303,8223588.60975065,-567947.2553214469,2100510.5645816424,0.0,0.0,220.39098600000003,0.0,0.0
2021-09-19,8870217.540001376,-1358231.9898205244,8220095.760000233,-287405.85776849446,123021.16942299412,0.0,0.0,223.79028799999995,0.0,0.0
2021-09-20,6995880.87000029,-1353659.872436127,8216602.910249815,-3116.165247955724,-1532617.5825015677,0.0,0.0,190.978948,0.0,0.0
2021-09-21,7105215.130000431,-1351648.3841217132,8213110.060499398,13807.741359289152,-1366010.7890665545,0.0,0.0,206.217806,0.0,0.0
2021-09-22,7242932.120000343,-1352609.8071330849,8209617.210748981,-182501.4524051212,-1058605.7438606091,0.0,0.0,221.85392199999995,0.0,0.0
2021-09-23,7902433.620000842,-1356878.544964877,8206124.3609985635,-319938.37184802507,-447991.5311476917,0.0,0.0,190.86938800000001,0.0,0.0
2021-09-24,9196315.190000743,-1364706.215222521,8202631.511248145,-231027.57694686603,2181693.9125755285,0.0,0.0,207.61863800000003,0.0,0.0
2021-09-25,9614674.940000722,-1376259.1255473474,8199138.661497728,-44047.043202099245,2100510.564580071,0.0,0.0,220.661362,0.0,0.0
2021-09-26,8290353.280000622,-1391618.0682431636,8195645.811747311,-41699.69648400322,123021.16941964302,0.0,0.0,224.068696,0.0,0.0
2021-09-27,6804547.680000193,-1410780.3076972077,8192152.961996894,-336880.05464817525,-1532617.5825030264,0.0,0.0,183.335068,0.0,0.0
