ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-10-02,16842969.919993173,-2365788.8670518035,17757600.393193398,-27847.688032847615,2979877.362750348,0.0,152.20000000000002,0.0
2021-10-03,19604530.239991464,-2225693.755908929,17735932.623949334,-239821.31694157835,3239885.3072432354,0.0,141.20000000000002,0.0
2021-10-04,13867134.239996806,-2106956.732453973,17714264.854705278,-538677.3175525982,-2035828.848814844,0.0,148.2,0.0
2021-10-05,12929643.199997054,-2016369.063888034,17692597.085461214,-858252.1042546702,-1754756.964360474,0.0,145.60000000000002,0.0
2021-10-06,12536144.479997838,-1959868.9600198732,17670929.316217158,-1108250.749038624,-1413705.413056538,0.0,142.79999999999998,0.0
2021-10-07,12744818.879997201,-1942334.4288389017,17649261.546973098,-1200364.0242694058,-1656353.9621115231,0.0,145.20000000000002,0.0
2021-10-08,14049257.439996576,-1967402.962968424,17627593.777729034,-1100880.4871426418,640882.5183371705,0.0,123.8,0.0
2021-10-09,15012298.719995297,-2037323.7817575731,17605926.00848497,-865992.5893823658,2979877.3627489666,0.0,154.59999999999997,0.0
2021-10-10,16704719.679995896,-2152847.498700102,17584258.239240915,-615509.5299650253,3239885.3072405807,0.0,145.60000000000002,0.0
2021-10-11,12430760.319998983,-2313157.077370042,17562590.469996855,-453459.1760020904,-2035828.8488045845,696258.9234345075,140.79999999999998,0.0
2021-10-12,11640667.99999886,-2515842.808718752,17540922.70075279,-399550.0001249353,-1754756.9643606136,0.0,151.20000000000002,0.0
2021-10-13,11293165.599999283,-2756922.81963648,17519254.931508735,-393357.246708255,-1413705.4130504986,0.0,138.79999999999995,0.0
2021-10-14,11271269.599999342,-3030909.3416019715,17497587.16226467,-367551.1884467603,-1656353.9621079129,0.0,152.8,0.0
2021-10-15,12898639.199998166,-3330919.6652108915,17475919.393020615,-317885.91670936334,640882.5183445654,0.0,152.8,0.0
2021-10-16,13690851.199998135,-3648829.418687463,17454251.623776555,-296185.7667461956,2979877.362752125,0.0,152.20000000000002,0.0
2021-10-17,16251928.799996335,-3975464.573318659,17432583.85453249,-326851.3883106668,3239885.307237788,0.0,155.2,0.0
2021-10-18,11646824.63999924,-4300827.431907724,17410916.085288428,-329997.40115847543,-2035828.8488062995,0.0,145.6,0.0
2021-10-19,10513675.359999426,-4614350.831661472,17389248.31604437,-142499.58949498908,-1754756.964360943,0.0,154.60000000000002,0.0
2021-10-20,9889915.359999422,-4905173.920736535,17367580.546800315,355210.9129258441,-1413705.413054037,0.0,138.0,0.0
2021-10-21,10793539.359999007,-5162432.174274692,17345912.77755625,1103000.1605341248,-1656353.9621089867,0.0,135.0,0.0
2021-10-22,12465551.039997444,-5375553.822697967,17324245.00831219,1839456.37556906,640882.5183440575,0.0,144.80000000000004,0.0
2021-10-23,14040649.919996731,-5534554.587846736,17302577.23906813,2236121.876550374,2979877.362753013,0.0,157.20000000000002,0.0
2021-10-24,15902310.399995929,-5630322.571301404,17280909.469824072,2101413.796112681,3239885.307235272,0.0,157.4,0.0
2021-10-25,12884059.03999801,-5654885.316987178,17259241.70058001,1505251.4906105436,-2035828.8488100332,0.0,152.6,0.0
2021-10-26,13419966.399996335,-5601651.474025684,17237573.931335952,732772.5695735828,-1754756.964364861,0.0,137.80000000000004,0.0
2021-10-27,13129540.799995748,-5465620.105934094,17215906.162091892,105472.04139134976,-1413705.4130575752,0.0,136.4,0.0
2021-10-28,14012869.599995198,-5243551.512968094,17194238.39284783,-197734.1272925558,-1656353.9621100605,0.0,147.20000000000005,0.0
2021-10-29,15827639.519992933,-4934094.433914267,17172570.623603772,-202135.17923897703,640882.5183475015,0.0,148.20000000000002,0.0
2021-10-30,18397328.319991454,-4537865.645055104,17150902.85435971,-65896.69124697485,2979877.362746164,0.0,164.60000000000002,0.0
2021-10-31,17638722.079991706,-4057479.246005511,17129235.08511565,43725.80720715968,3239885.307232478,0.0,149.6,9.0
2021-11-01,14098341.279994024,-3497524.2796112257,17107567.31587159,31509.688475098643,-2035828.8488097277,0.0,169.2,3.0
2021-11-02,13838890.239993494,-2864490.738455107,17085899.54662753,-119821.25017760556,-1754756.9643612225,0.0,134.20000000000002,12.0
2021-11-03,14467331.199993966,-2166645.424617981,17064231.777383465,-381900.4749924766,-1413705.4130563252,0.0,134.6,78.0
2021-11-04,15191124.639992459,-1413860.512325117,17042564.00813941,-701074.252458078,-1656353.9621113003,0.0,157.8,241.5
2021-11-05,16269500.79999142,-617398.9761873661,17020896.23889535,-998073.9213279056,640882.518346994,0.0,130.0,298.5
2021-11-06,18684346.239989355,210337.7464437448,16999228.469651286,-1178070.171656028,2979877.362747052,0.0,150.2,333.0
2021-11-07,22217021.11998769,1056093.426359567,16977560.70040723,-1173214.1982341534,3239885.307229686,0.0,152.8,319.5
2021-11-08,16658237.599991327,1906064.7218485416,16955892.931163166,-993576.9784878832,-2035828.8488134616,-1496443.8587865003,146.40000000000003,328.5
2021-11-09,16382138.239991074,2746224.847781424,16934225.16191911,-734777.3769170417,-1754756.964361362,0.0,158.80000000000004,349.5
2021-11-10,16717378.87999026,3562654.739777942,16912557.39267505,-519833.3131408566,-1413705.4130559575,0.0,101.60000000000001,378.0
2021-11-11,17782308.319989976,4341872.9757090565,16890889.623430986,-415532.83596804895,-1656353.9621075238,0.0,53.00000000000001,342.0
2021-11-12,18284466.3999897,5071155.71371988,16869221.854186922,-395598.9407165807,640882.518354389,0.0,52.99999999999999,412.5
2021-11-13,21116866.719986238,5738838.144393432,16847554.084942866,-385049.12997618783,2979877.36275021,0.0,54.00000000000001,385.5
2021-11-14,22948520.479985315,6334589.428538735,16825886.31569881,-343032.34635024273,3239885.3072419628,0.0,51.8,337.5
2021-11-15,18684246.87998903,6849653.788932784,16804218.546454746,-300168.5166846014,-2035828.8488032029,0.0,54.00000000000001,307.5
2021-11-16,19553529.119987242,7277051.325626485,16782550.777210683,-307145.150227182,-1754756.964361501,0.0,52.00000000000002,241.5
2021-11-17,20662397.75998627,7611733.205261452,16760883.007966625,-341222.9979355399,-1413705.413054707,0.0,46.00000000000001,267.0
2021-11-18,22521335.039984547,7850687.105748008,16739215.238722568,-270459.19453684444,-1656353.9621134484,0.0,52.0,292.5
2021-11-19,27174003.199992754,7992990.144538574,16717547.469478505,66074.23028101126,640882.5183538813,0.0,46.80000000000001,337.5
2021-11-20,33605476.64001215,8039807.944245765,16695879.700234445,710362.4391200391,2979877.3627510983,0.0,19.0,277.5
2021-11-21,35355173.1200244,7994339.95390386,16674211.93099038,1494011.099359521,3239885.3072391697,0.0,49.600000000000016,258.0
2021-11-22,39956376.480064884,7861712.60689404,16652544.161746323,2097639.8604583065,-2035828.8488069368,20136896.359408893,54.0,301.5
2021-11-23,55197508.64017854,7648823.316664662,16630876.392502263,2237294.097816512,-1754756.964361641,0.0,50.199999999999996,237.0
2021-11-24,61961955.840151705,7364139.649196122,16609208.623258203,1846514.808336639,-1413705.413058245,0.0,49.800000000000004,158.985
2021-11-25,12263677.279994799,7017459.229160567,16587540.85401414,1119346.947182719,-1656353.9621096724,0.0,28.2,6.0
2021-11-26,7330972.159998504,6619637.0009901645,16565873.084770082,384986.7420046921,640882.5183433131,0.0,57.00000000000001,51.0
2021-11-27,7922241.4399983315,6182287.3465697775,16544205.315526024,-89534.51384843407,2979877.362751987,0.0,58.2,121.5
2021-11-28,8875821.439997924,5717469.233595388,16522537.54628196,-229049.7746925082,3239885.307236515,0.0,59.00000000000001,121.5
2021-11-29,8652430.719997829,5237363.013715568,16500869.777037902,-140025.7524425392,-2035828.848806631,0.0,51.2,141.6
2021-11-30,9783206.399997167,4753947.695273889,16479202.007793838,280.64736332288567,-1754756.964358002,0.0,55.2,177.0
2021-12-01,11389408.639996117,4278687.475831342,16457534.238549782,55414.97795893178,-1413705.4130530893,0.0,70.80000000000001,229.2
2021-12-02,12401658.879995303,3822236.036082789,16435866.469305724,-27847.68803274597,-1656353.962105896,0.0,66.80000000000001,210.0
