ds,SALES,yearly,trend,monthly,weekly,holidays,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER,REDEMPTION_COST_MY_MAGAZINE
2022-01-27,30537748.389997236,30919484.56934104,33598157.17101759,4418394.705879016,-8502502.962092483,0.0,907.6619979999998,0.0,0.0,0.0
2022-01-28,31589919.669996105,26682427.46933491,33551673.14848514,1158987.1267875682,4962829.262975391,0.0,890.3052840000001,0.0,0.0,0.0
2022-01-29,35783958.029995486,22278534.11543411,33505189.125952687,-2615095.190308956,8325547.518677331,0.0,927.077012,0.0,0.0,0.0
2022-01-30,45618599.009986125,17789527.156841353,33458705.103420224,-4211505.006112053,12619676.93423782,0.0,911.860616,0.0,0.0,0.0
2022-01-31,37344918.80999317,13297501.8045455,33412221.08088777,-3383018.104970238,-2028258.588206208,0.0,879.661672,0.0,0.0,0.0
2022-02-01,39541396.849990815,8883128.940049672,33365737.05835532,-1989690.9280444512,-6898703.11964688,0.0,861.7130639999999,0.0,0.0,0.0
2022-02-02,31420517.509996545,4623905.728582682,33319253.03582287,-1830702.6392745608,-8478589.045904111,0.0,847.054374,0.0,0.0,0.0
2022-02-03,22519986.139997754,592496.2205850016,33272769.013290416,-2902629.6176317125,-8502502.962092256,0.0,876.42092,0.0,0.0,0.0
2022-02-04,24685257.129997674,-3144798.054428704,33226284.990757965,-3681728.0594033855,4962829.262931906,0.0,893.5749059999999,0.0,0.0,0.0
2022-02-05,33940897.249994114,-6529401.012340141,33179800.9682255,-2914406.5272516967,8325547.51868158,0.0,915.1593340000001,0.0,0.0,0.0
2022-02-06,44631388.2399852,-9511626.421972256,33133316.94569305,-969291.5836173316,12619676.934229966,0.0,871.491302,0.0,0.0,0.0
