ds,SALES,yearly,trend,monthly,weekly,holidays,KPM_COST_CBA,KPM_COST_EMOD,PLA_AD_SPEND_PLA,TOA_AD_SPEND_TOA,REDEMPTION_COST_LOYAL_CUSTOMER_MAILER
2021-12-23,52527723.84000855,-5095839.557943888,28506078.4432572,3454319.97443747,-3586734.696060235,0.0,0.0,0.0,198.32764799999998,0.0,423.0
2021-12-24,50180413.76000953,-5664295.325254092,28511712.83367678,3795923.473207594,2840660.531152026,0.0,0.0,0.0,115.90930400000003,0.0,247.5
2021-12-25,559636.0000000402,-6220506.968991268,28517347.22409638,1790711.8026672408,5481025.431236343,0.0,0.0,0.0,32.798982,0.0,0.0
2021-12-26,21254211.68000251,-6752923.613340323,28522981.61451597,-1233118.9794976227,5513520.605429364,0.0,0.0,0.0,204.26992,0.0,256.5
2021-12-27,21165497.920001697,-7250526.344885898,28528616.004935563,-3267517.8415242345,-2481118.2531485264,5666579.715714613,0.0,0.0,232.42433999999997,0.0,432.0
2021-12-28,21296539.040002313,-7703100.847851396,28534250.39535516,-3217408.498174922,-3810760.512348221,0.0,0.0,0.0,236.55414199999996,0.0,391.5
2021-12-29,21707506.720000867,-8101486.490941343,28539884.78577475,-1654987.3579159533,-3956593.106251679,0.0,0.0,0.0,246.44121,0.0,414.0
2021-12-30,24837320.960000902,-8437795.341352295,28545519.17619434,-124332.09879111616,-3586734.696052662,0.0,0.0,0.0,240.39245200000005,0.0,549.0
2021-12-31,31543234.08000411,-8705595.463501466,28551153.56661393,300979.21659549914,2840660.53115312,0.0,0.0,0.0,238.42728799999998,0.0,735.9300000000001
2022-01-01,17296618.240000524,-8900053.891135566,28556787.95703352,-128379.73808087726,5481025.431237506,0.0,0.0,0.0,265.98495899999995,0.0,306.0
2022-01-02,25617171.840001475,-9018035.812124545,28562422.347453117,-294049.3907988621,5513520.605424549,0.0,0.0,0.0,266.273356,0.0,616.5
2022-01-03,23505068.960001018,-9058157.742259849,28568056.737872705,552295.4285222032,-2481118.253130787,0.0,0.0,0.0,239.65807,0.0,54.0
2022-01-04,23206797.60000111,-9020793.752509888,28573691.1282923,1997701.7843832648,-3810760.512358557,0.0,0.0,0.0,385.38179399999996,0.0,36.0
2022-01-05,21521788.15999923,-8908035.117110532,28579325.51871189,2862814.4339390914,-3956593.106258024,0.0,0.0,0.0,482.81096399999996,0.0,36.0
2022-01-06,18759267.359999713,-8723605.031022802,28584959.90913148,2354813.483496032,-3586734.6960595525,0.0,0.0,0.0,408.139288,0.0,9.0
2022-01-07,19816660.159999657,-8472731.268931564,28590594.299551077,838413.9107175746,2840660.531154213,0.0,0.0,0.0,336.017684,0.0,27.0
2022-01-08,25576401.119999785,-8161980.790488061,28596228.689970665,-507223.7133669472,5481025.431231126,0.0,0.0,0.0,334.273558,0.0,9.0
2022-01-09,27915456.959999822,-7799061.30677242,28601863.080390256,-780510.7648076728,5513520.605419733,0.0,0.0,0.0,348.256592,0.0,0.0
2022-01-10,21246686.079999667,-7392595.683851098,28607497.470809847,-127652.21677194144,-2481118.253133027,0.0,0.0,0.0,346.51857600000005,0.0,0.0
2022-01-11,20433579.039999664,-6951875.747879642,28613131.86122944,522963.6065695756,-3810760.512352677,0.0,0.0,0.0,355.831456,0.0,0.0
2022-01-12,20666999.96000098,-6486602.55469151,28618766.251649037,438448.5771001044,-3956593.106255856,0.0,0.0,0.0,353.81005799999997,0.0,0.0
2022-01-13,22100387.720001377,-6006620.482856228,28624400.642068624,-233836.3705033174,-3586734.69605198,0.0,0.0,0.0,333.81514599999997,0.0,0.0
2022-01-14,24583779.160001427,-5521652.596238681,28630035.032488216,-740477.8214510729,2840660.5311345835,0.0,0.0,0.0,331.92348999999996,0.0,0.0
2022-01-15,27497611.800002217,-5041044.599739583,28635669.422907807,-621392.6666185204,5481025.431232289,0.0,0.0,0.0,322.04238399999997,0.0,0.0
2022-01-16,22800232.800002113,-4573524.385143367,28641303.8133274,-256086.26524420068,5513520.605417796,0.0,0.0,0.0,346.24345199999993,0.0,0.0
2022-01-17,21815034.560001593,-4126983.644361976,28646938.20374699,-445696.0299480384,-2481118.253135266,1652615.3842349066,0.0,0.0,348.74618200000003,0.0,0.0
2022-01-18,21078096.240001276,-3708287.330812728,28652572.594166584,-1436002.4068284964,-3810760.5123467953,0.0,0.0,0.0,352.239658,0.0,0.0
2022-01-19,21257711.000000842,-3323115.897807465,28658206.984586176,-2422149.204613432,-3956593.1062549553,0.0,0.0,0.0,325.79707,0.0,0.0
2022-01-20,20284743.04000128,-2975844.2610211237,28663841.375005767,-2157677.436189309,-3586734.6960516386,0.0,0.0,0.0,352.10745599999996,0.0,0.0
2022-01-21,21922797.000001892,-2669460.349245866,28669475.76542536,-189911.2761063886,2840660.531140195,0.0,0.0,0.0,336.78310600000003,0.0,0.0
2022-01-22,26583168.08000222,-2405524.955395763,28675110.15584495,2461122.216736296,5481025.431234362,0.0,0.0,0.0,349.63326,0.0,0.0
2022-01-23,28826222.88000178,-2184173.411297115,28680744.54626454,3936976.585415584,5513520.605410101,0.0,0.0,0.0,348.2674,0.0,0.0
2022-01-24,22446519.760001764,-2004158.419081168,28686378.93668413,3037914.1083888058,-2481118.2531236247,0.0,0.0,0.0,346.23408399999994,0.0,0.0
2022-01-25,21504203.600001123,-1862932.2129328605,28692013.327103723,276983.98418673314,-3810760.512357131,0.0,0.0,0.0,352.98742400000003,0.0,0.0
2022-01-26,21631667.480001442,-1756765.1298099817,28697647.71752332,-2479677.397204508,-3956593.106252787,0.0,0.0,0.0,341.93291199999993,0.0,0.0
2022-01-27,21841410.28000133,-1680896.667247578,28703282.10794291,-3504868.374315937,-3586734.696051297,0.0,0.0,0.0,356.356336,0.0,0.0
